Id;SurveyAnswerID;Language;Score;Magnitude;Sentimiento
21;400;"es";0,89999997615814209;0,89999997615814209;"Postivo"
33;545;"es";0,89999997615814209;0,89999997615814209;"Postivo"
35;553;"es";0,89999997615814209;0,89999997615814209;"Postivo"
46;626;"es";0,89999997615814209;0,89999997615814209;"Postivo"
55;697;"es";0,89999997615814209;0,89999997615814209;"Postivo"
56;723;"es";0,89999997615814209;0,89999997615814209;"Postivo"
59;760;"es";0,89999997615814209;0,89999997615814209;"Postivo"
66;927;"es";0,89999997615814209;0,89999997615814209;"Postivo"
67;939;"es";0,89999997615814209;0,89999997615814209;"Postivo"
68;946;"es";0,89999997615814209;0,89999997615814209;"Postivo"
70;968;"es";0,89999997615814209;0,89999997615814209;"Postivo"
79;1003;"es";0,89999997615814209;0,89999997615814209;"Postivo"
81;1018;"es";0,89999997615814209;0,89999997615814209;"Postivo"
87;1063;"es";0,89999997615814209;0,89999997615814209;"Postivo"
88;1069;"es";0,89999997615814209;0,89999997615814209;"Postivo"
89;1073;"es";0,89999997615814209;0,89999997615814209;"Postivo"
90;1079;"es";0,89999997615814209;0,89999997615814209;"Postivo"
91;1085;"es";0,89999997615814209;0,89999997615814209;"Postivo"
93;1097;"es";0,89999997615814209;0,89999997615814209;"Postivo"
94;1106;"es";0,89999997615814209;0,89999997615814209;"Postivo"
97;1127;"es";0,89999997615814209;0,89999997615814209;"Postivo"
99;1137;"es";0,89999997615814209;0,89999997615814209;"Postivo"
100;1142;"es";0,89999997615814209;0,89999997615814209;"Postivo"
101;1150;"es";0,89999997615814209;0,89999997615814209;"Postivo"
102;1154;"es";0,89999997615814209;0,89999997615814209;"Postivo"
105;1172;"es";0,89999997615814209;0,89999997615814209;"Postivo"
106;1178;"es";0,89999997615814209;0,89999997615814209;"Postivo"
108;1191;"es";0,89999997615814209;0,89999997615814209;"Postivo"
109;1195;"es";0,89999997615814209;0,89999997615814209;"Postivo"
114;1237;"es";0,89999997615814209;0,89999997615814209;"Postivo"
115;1245;"es";0,89999997615814209;0,89999997615814209;"Postivo"
117;1257;"es";0,89999997615814209;0,89999997615814209;"Postivo"
118;1263;"es";0,89999997615814209;0,89999997615814209;"Postivo"
119;1269;"es";0,89999997615814209;0,89999997615814209;"Postivo"
