Id;SurveyAnswerID;Content;BeginOffset;SentimentScore;SentimentMagnitude
7165;39698;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
7307;40616;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
7312;40654;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
7459;41484;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
7547;41984;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
7608;42334;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
7682;42835;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
7689;42875;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
7847;43681;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
7948;44436;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
7956;44475;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
8087;45411;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
8089;45421;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
8204;46239;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
8425;47681;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
8507;48250;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
8534;48436;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
8653;49121;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
8663;49184;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
8677;49240;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
8840;50088;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
8845;50104;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
8934;50557;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9124;51525;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9135;51567;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9143;51617;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9151;51667;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9268;52165;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9287;52268;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9396;52795;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9397;52799;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9477;53166;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9544;53463;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9549;53493;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9583;53689;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9588;53711;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9635;53945;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9663;54094;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9745;54531;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9818;54869;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9834;54951;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9835;54955;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9854;55051;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9866;55087;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9892;55237;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9971;55640;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
9999;55753;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
