Id;SurveyAnswerID;Entity;Type;SentimentScore;SentimentMagnitude
2667;5231;"atención";"Other";0,89999997615814209;0,89999997615814209
2668;5237;"atención";"Other";0,89999997615814209;0,89999997615814209
2694;5282;"atención";"Other";0,89999997615814209;0,89999997615814209
2706;5315;"atención";"Other";0,89999997615814209;0,89999997615814209
2709;5327;"atención";"Other";0,89999997615814209;0,89999997615814209
2735;5365;"atención";"Other";0,89999997615814209;0,89999997615814209
2739;5374;"atención";"Other";0,89999997615814209;0,89999997615814209
2808;5453;"atención";"Other";0,89999997615814209;0,89999997615814209
2847;5511;"atención";"Other";0,89999997615814209;0,89999997615814209
2859;5538;"atención";"Other";0,89999997615814209;0,89999997615814209
2865;5544;"atención";"Other";0,89999997615814209;0,89999997615814209
2883;5569;"atención";"Other";0,89999997615814209;0,89999997615814209
2918;5677;"atención";"Other";0,89999997615814209;0,89999997615814209
2919;5685;"atención";"Other";0,89999997615814209;0,89999997615814209
2928;5703;"atención";"Other";0,89999997615814209;0,89999997615814209
2942;5720;"atención";"Other";0,89999997615814209;0,89999997615814209
2947;5720;"atención";"Other";0,89999997615814209;0,89999997615814209
2948;5729;"atención";"Other";0,89999997615814209;0,89999997615814209
3053;5974;"atención";"Other";0,89999997615814209;0,89999997615814209
3065;5996;"atención";"Other";0,89999997615814209;0,89999997615814209
3068;6014;"atención";"Other";0,89999997615814209;0,89999997615814209
3077;6026;"atención";"Other";0,89999997615814209;0,89999997615814209
3097;6064;"atención";"Other";0,89999997615814209;0,89999997615814209
3115;6096;"atención";"Other";0,89999997615814209;0,89999997615814209
3204;6257;"atención";"Other";0,89999997615814209;0,89999997615814209
3207;6282;"atención";"Other";0,89999997615814209;0,89999997615814209
3227;6334;"atención";"Other";0,89999997615814209;0,89999997615814209
3232;6339;"atención";"Other";0,89999997615814209;0,89999997615814209
3254;6389;"atención";"Other";0,89999997615814209;0,89999997615814209
3255;6397;"atención";"Other";0,89999997615814209;0,89999997615814209
3266;6417;"atención";"Other";0,89999997615814209;0,89999997615814209
3285;6481;"atención";"Other";0,89999997615814209;0,89999997615814209
3292;6503;"atención";"Other";0,89999997615814209;0,89999997615814209
3312;6544;"atención";"Other";0,89999997615814209;0,89999997615814209
3327;6585;"atención";"Other";0,89999997615814209;0,89999997615814209
3360;6671;"atención";"Other";0,89999997615814209;0,89999997615814209
3380;6701;"atención";"Other";0,89999997615814209;0,89999997615814209
3440;6795;"atención";"Other";0,89999997615814209;0,89999997615814209
3446;6813;"atención";"Other";0,89999997615814209;0,89999997615814209
3480;6863;"atención";"Other";0,89999997615814209;0,89999997615814209
3497;6906;"atención";"Other";0,89999997615814209;0,89999997615814209
3507;6927;"atención";"Other";0,89999997615814209;0,89999997615814209
3529;6957;"atención";"Other";0,89999997615814209;0,89999997615814209
3553;6992;"atención";"Other";0,89999997615814209;0,89999997615814209
3563;7032;"atención";"Other";0,89999997615814209;0,89999997615814209
3566;7048;"atención";"Other";0,89999997615814209;0,89999997615814209
3591;7083;"atención";"Other";0,89999997615814209;0,89999997615814209
3607;7115;"atención";"Other";0,89999997615814209;0,89999997615814209
3614;7153;"atención";"Other";0,89999997615814209;0,89999997615814209
3658;7206;"atención";"Other";0,89999997615814209;0,89999997615814209
3667;7233;"atención";"Other";0,89999997615814209;0,89999997615814209
3673;7245;"atención";"Other";0,89999997615814209;0,89999997615814209
3675;7254;"atención";"Other";0,89999997615814209;0,89999997615814209
3684;7279;"atención";"Other";0,89999997615814209;0,89999997615814209
3687;7287;"atención";"Other";0,89999997615814209;0,89999997615814209
3688;7295;"atención";"Other";0,89999997615814209;0,89999997615814209
3691;7304;"atención";"Other";0,89999997615814209;0,89999997615814209
3706;7324;"atención";"Other";0,89999997615814209;0,89999997615814209
3725;7377;"atención";"Other";0,89999997615814209;0,89999997615814209
3726;7381;"atención";"Other";0,89999997615814209;0,89999997615814209
3738;7395;"atención";"Other";0,89999997615814209;0,89999997615814209
3779;7488;"atención";"Other";0,89999997615814209;0,89999997615814209
3804;7528;"atención";"Other";0,89999997615814209;0,89999997615814209
3815;7538;"atención";"Other";0,89999997615814209;0,89999997615814209
3825;7568;"atención";"Other";0,89999997615814209;0,89999997615814209
